meta_DOI_URL;meta_authors;meta_year;meta_title;meta_journal;site_country;site_country_iso2;site_region_local;site_climate_zone;site_seismic_hazard;site_region_geoscheme;bldg_use_type;bldg_use_subtype;bldg_project_type;bldg_project_status;bldg_year_complete;bldg_year_complete_interval;bldg_users_total;bldg_area_definition;bldg_area_gfa;bldg_area_interval;bldg_floors_ag;bldg_floors_ag_interval;bldg_floors_bg;bldg_roof_type;bldg_area_value;bldg_area_specification;bldg_height;bldg_footprint;bldg_energy_class_general;bldg_energy_class_country;bldg_QTO_type;bldg_struct_type;lca_goal_scope;lca_reference_unit;lca_functional_unit;lca_RSP;lca_software;lca_database;lca_database_version;lca_database_other;lca_lcia_method;lca_model_type;scope_parts_1_ground;scope_parts_2_structure;scope_parts_3_secondary;scope_parts_4_finishes;scope_parts_5_mechanical;scope_parts_6_electrical;scope_parts_6+_renewables;scope_parts_7_facilities;scope_parts_8_fittings;scope_LCS_A123;scope_LCS_A4;scope_LCS_A5;scope_LCS_B1;scope_LCS_B2;scope_LCS_B3;scope_LCS_B4;scope_LCS_B5;scope_LCS_B6;scope_LCS_B7;scope_LCS_C1;scope_LCS_C2;scope_LCS_C3;scope_LCS_C4;scope_LCS_D;scope_handling_D;scope_LCS_B6_heating;scope_LCS_B6_ventilation;scope_LCS_B6_cooling;scope_LCS_B6_DHW;scope_LCS_B6_lighting;scope_LCS_B6_appliances;inv_energy_consumption;inv_energy_consumption_description;inv_energy_consumption_type;inv_mat_mass_total;inv_mat_mass_total_m2;inv_mat_mass_total_capita;inv_mat_mass_sum_top_5;inv_mat_mass_ratio;inv_mat_1_type;inv_mat_1_mass;inv_mat_2_type;inv_mat_2_mass;inv_mat_3_type;inv_mat_3_mass;inv_mat_4_type;inv_mat_4_mass;inv_mat_5_type;inv_mat_5_mass;mi_aluminium;mi_bamboo;mi_brass_copper;mi_cement_mortar;mi_ceramics;mi_concrete_reinforced;mi_concrete_wo_reinforcement;mi_earth;mi_EPS_XPS;mi_fungi;mi_glass;mi_metals;mi_plastics;mi_steel_reinforcement;mi_stone;mi_stone_wool;mi_straw_hemp;mi_wood;mi_other;mi_fr_aluminum;mi_fr_wood;mi_fr_copper;mi_fr_concrete;mi_fr_brick;mi_fr_plastics;mi_fr_glass;mi_fr_steel;mi_fr_other;mi_eurostat_metal_materials;mi_eurostat_non-metallic_minerals;mi_eurostat_fossil_energy_materials;mi_eurostat_biomass_based_materials;mi_hf_metals;mi_hf_cca;mi_hf_non-cca-minerals;mi_hf_bio-based;mi_hf_other-materials;GHG_sum_em_m2a;GHG_EC_share;GHG_OC_share;GHG_A123_m2a;GHG_A45_m2a;GHG_B1234_m2a;GHG_B67_m2a;GHG_C12_m2a;GHG_C34_m2a;GHG_A123_m2a_harm;GHG_A45_m2a_harm;GHG_B1234_m2a_harm;GHG_B67_m2a_harm;GHG_C12_m2a_harm;GHG_C34_m2a_harm;GHG_sum_em_m2a_harm;GHG_sum_em_capita_a;GHG_A_capita_a;GHG_B_em_capita_a;GHG_B_op_capita_a;GHG_C_capita_a;GHG_P1_sum_m2a;GHG_P2_sum_m2a;GHG_P34_sum_m2a;GHG_P4_sum_m2a;bldg_area_per_user
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Hospital and Health;No data;New Built;2019.0;2015-2019;114.0;Other;14498.07;10001-15000;3.0;1-6;1.0;Flat roof;;No data;;;New Standard;B;Detailed design;massive concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;separately considered;No data;No data;No data;No data;No data;No data;127.29;No data;No data;27509262.0;1897.44303897001;241309.315789473;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.03;;;7.03;;0.93;35.4;;;7.03;;0.93;35.4;;;7.96;894.04765;894.04765;118.273728947368;4502.03226315789;100.469081578947;;;;;127.17605263157894
No data;Alexander Passer, Helmuth Kreiner;No data;AT6 - Karmeliterhof;A57 case study report;Austria;AT;Graz;(D) Continental;Low;Western Europe;Non-residential;Office;Refurbishment;New Built;2011.0;2010-2014;;Other;2034.0;1-5000;5.0;1-6;;Flat roof;2034.0;m2 GFA;;;New Advanced;No data;No data;massive concrete;Modernization of whole building complex of building. Restructuring and renovation of the existing facade. Close the gap between existing buildings. Enhancement of the attractiveness of the surrounding area. Improvement of the local density. Disabled accessibility;m2 NFA y;No data;50.0;Other;Oekobau.dat;Ökobau 2009;Ökobaudat;As of Ökobau 2009;Process-based;Yes;Yes;No data;No data;Yes;No data;No data;No data;No data;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;No;substracted (credit);Yes;No;Yes;Yes;Yes;No;39.0;No data;No data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.99;25.78251048725395;74.21748951274604;;;;;;;;;;;;;;;;;;;;;;;
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Hospital and Health;No data;New Built;2019.0;2015-2019;87.0;Other;10482.0;10001-15000;3.0;1-6;2.0;Flat roof;;No data;;;New Standard;B;Detailed design;massive concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;separately considered;No data;No data;No data;No data;No data;No data;134.25;No data;No data;18075556.0;1724.43770272848;207765.011494252;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.34;;;7.34;;0.84;36.82;;;7.34;;0.84;36.82;;;8.18;884.343448275862;884.343448275862;101.205517241379;4436.17517241379;100.000689655172;;;;;120.48275862068965
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Office;No data;New Built;2016.0;2015-2019;75.0;Other;1546.0;1-5000;3.0;1-6;;Flat roof;;No data;;;New Standard;A+;Detailed design;massive concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;substracted (credit);No data;No data;No data;No data;No data;No data;-10.42;No data;No data;2066728.0;1336.82276843467;27556.3733333333;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.02;;;5.02;;1.84;-3.7;;;5.02;;1.84;-3.7;;;6.85999999999999;103.478933333333;103.478933333333;37.9285333333333;-76.2693333333333;;;;;;20.613333333333333
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Office;No data;New Built;2017.0;2015-2019;400.0;Other;13443.0;10001-15000;5.0;1-6;1.0;Flat roof;;No data;;;New Standard;A;Detailed design;frame concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;substracted (credit);No data;No data;No data;No data;No data;No data;33.2;No data;No data;20186789.0;1501.6580376404;50466.9725;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.45;;;5.45;;2.41;10.03;;;5.45;;2.41;10.03;;;7.86;183.160875;183.160875;80.994075;337.083225;;;;;;33.6075
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Office;No data;New Built;2020.0;>2020;1800.0;Other;35825.0;35001-40000;9.0;7-14;1.0;Flat roof;;No data;;;New Standard;A;Detailed design;massive concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;separately considered;No data;No data;No data;No data;No data;No data;47.95;No data;No data;103390394.0;2885.98448011165;57439.1077777777;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.48;;;8.48;;0.43;11.62;;;8.48;;0.43;11.62;;;8.91;168.775555555555;168.775555555555;8.55819444444444;231.270277777777;19.1066666666666;;;;;19.90277777777778
No data;Tschümperlin L., Frischknecht R., Pfäffli K., Knecht K. and Schultheiss M.;2016;"Zielwert Gesamtumweltbelastung Gebäude; Ergänzungsarbeiten mit Fokus auf den Einfluss der Technisierung auf die Umweltbelastung von Büro- und Wohnbauten";No data;Austria;AT;Lustenau;(D) Continental;Low;Western Europe;Non-residential;Office;New construction;New Built;2013.0;2010-2014;;Other;;No data;6.0;1-6;;Flat roof;3051.0;m2 HFA;;;New Advanced;No data;No data;massive concrete;establish environmental benchmark;other;No data;60.0;SimaPro;Ecoinvent;v2.2;including updates of v2.2;No data;Process-based;Yes;Yes;No data;Yes;Yes;No data;No data;No data;No data;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;not in scope;Yes;Yes;Yes;Yes;Yes;No;23.33;No data;Meter data (measured);4819770.88;;;4471014.64;92.7640493981324;Concrete w/o reinforcement;2554170.1;Ceramics (e.g., fired clay bricks);1200873.92;Other;272621.0;Cement mortar, plaster;228963.93;Cement mortar, plaster;214385.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.74166666666666;71.35918539735191;28.6408146026481;6.01666666666666;;1.79166666666666;3.50833333333333;;0.916666666666666;7.22;;1.79166666666666;3.50833333333333;;1.1;10.1116666666666;;;;;;;;;;
No data;Beate Lubitz-Prohaska, Alexander Passer, Gernot Fischer;2012;AT2 - LCT One;A57 case study report;Austria;AT;Vienna;(D) Continental;Low;Western Europe;Non-residential;Office;New construction;New Built;2012.0;2010-2014;;Other;2355.0;1-5000;8.0;7-14;1.0;Flat roof;2355.0;m2 GFA;;;New Advanced;No data;No data;massive wood;"To perform a Life Cycle Assessment (LCA) to evaluate the use of Primary Energy
(PE) , Global Warming Potential (GWP) and acidification (AP), related to the life
cycle of a new office building in Austria.";m2 GFA y;No data;100.0;Other;Other;No data;EcoSoft IBO;"GWP 100a (EcoSoft by IBO )
Acidification (EcoSoft by IBO )
CED non renewable (EcoSoft by IBO )";Process-based;Yes;Yes;No data;No data;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No data;Yes;Yes;Yes;Yes;No;No;15.0;No data;No data;2801402.0;1189.55498938428;;2147901.0;76.672359054502;Concrete reinforced;1525072.0;Concrete w/o reinforcement;485070.0;Timber, wood;137759.0;No data;;No data;;;;;;;647.588959660297;205.974522292993;;;;;;;;;;;58.4963906581741;;;58.4963906581741;;853.56348195329;;;;;;;853.56348195329;;58.4963906581741;;853.56348195329;;58.4963906581741;;3.29;9.803337306317044;90.19666269368295;;;;;;;;;;;;;;;;;;;;;;;
No data;Beate Lubitz-Prohaska, Alexander Passer, Gernot Fischer;2012;AT1 - Aspern IQ;A57 case study report;Austria;AT;Vienna;(D) Continental;Low;Western Europe;Non-residential;Office;New construction;New Built;2012.0;2010-2014;;Other;12682.0;10001-15000;5.0;1-6;;Flat roof;12682.0;m2 GFA;;;New Advanced;No data;No data;massive brick;"To perform a Life Cycle Assessment (LCA) to evaluate the use of Primary Energy
(PE) , Global Warming Potential (GWP) and acidification (AP), related to the life
cycle of a new office building in Austria.";m2 GFA y;No data;100.0;Other;Other;No data;EcoSoft IBO;"GWP 100a (EcoSoft by IBO )
Acidification (EcoSoft by IBO )
CED non renewable (EcoSoft by IBO )";Process-based;Yes;Yes;No data;No data;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No data;Yes;Yes;Yes;Yes;No;No;14.62;No data;No data;15608413.0;1230.75327235451;;13937216.0;89.292972962722;Concrete w/o reinforcement;6985592.0;Concrete reinforced;6309207.0;Cement mortar, plaster;642417.0;No data;;No data;;;;;50.6558113862166;;497.493061031383;550.827314303737;;;;;;;;;;;;;;;;1048.32037533512;;;;;50.6558113862166;;1098.97618672133;;;;1098.97618672133;;;;4.77;38.06863527533918;61.93136472466082;;;;;;;;;;;;;;;;;;;;;;;
10.1016/j.enbuild.2016.04.015;"Passer, A
Ouellet-Plamondon, C
P. Kenneally, P
V. John, V
G. Habert, G";2016;The impact of future scenarios on building refurbishment strategies towards plus energy buildings;Energy and Buildings;Austria;AT;Kapfenberg, Styria, Austria;(D) Continental;No data;Western Europe;Residential;Multi-family house;New construction;New Built;1961.0;1960-1964;;Other;2845.0;1-5000;4.0;1-6;1.0;Single pitched roof;2845.0;m2 GFA;;650.0;New Advanced;No data;No data;frame concrete;compare different refurbishment strategies over a reference period of 60 years;other;1m2 energy reference area per year;60.0;SimaPro;Ecoinvent;v2.2;No data;ISO 14040 and 14044 and EN 15986;Process-based;No;No data;No data;Yes;Yes;No data;No data;No data;No data;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;not in scope;Yes;Yes;No;Yes;Yes;Yes;28.33;No data;No data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1;20.66666666666667;79.33333333333333;;;;;;;;;;;;;;;;;;;;;;;
