meta_DOI_URL;meta_authors;meta_year;meta_title;meta_journal;site_country;site_country_iso2;site_region_local;site_climate_zone;site_seismic_hazard;site_region_geoscheme;bldg_use_type;bldg_use_subtype;bldg_project_type;bldg_project_status;bldg_year_complete;bldg_year_complete_interval;bldg_users_total;bldg_area_definition;bldg_area_gfa;bldg_area_interval;bldg_floors_ag;bldg_floors_ag_interval;bldg_floors_bg;bldg_roof_type;bldg_area_value;bldg_area_specification;bldg_height;bldg_footprint;bldg_energy_class_general;bldg_energy_class_country;bldg_QTO_type;bldg_struct_type;lca_goal_scope;lca_reference_unit;lca_functional_unit;lca_RSP;lca_software;lca_database;lca_database_version;lca_database_other;lca_lcia_method;lca_model_type;scope_parts_1_ground;scope_parts_2_structure;scope_parts_3_secondary;scope_parts_4_finishes;scope_parts_5_mechanical;scope_parts_6_electrical;scope_parts_6+_renewables;scope_parts_7_facilities;scope_parts_8_fittings;scope_LCS_A123;scope_LCS_A4;scope_LCS_A5;scope_LCS_B1;scope_LCS_B2;scope_LCS_B3;scope_LCS_B4;scope_LCS_B5;scope_LCS_B6;scope_LCS_B7;scope_LCS_C1;scope_LCS_C2;scope_LCS_C3;scope_LCS_C4;scope_LCS_D;scope_handling_D;scope_LCS_B6_heating;scope_LCS_B6_ventilation;scope_LCS_B6_cooling;scope_LCS_B6_DHW;scope_LCS_B6_lighting;scope_LCS_B6_appliances;inv_energy_consumption;inv_energy_consumption_description;inv_energy_consumption_type;inv_mat_mass_total;inv_mat_mass_total_m2;inv_mat_mass_total_capita;inv_mat_mass_sum_top_5;inv_mat_mass_ratio;inv_mat_1_type;inv_mat_1_mass;inv_mat_2_type;inv_mat_2_mass;inv_mat_3_type;inv_mat_3_mass;inv_mat_4_type;inv_mat_4_mass;inv_mat_5_type;inv_mat_5_mass;mi_aluminium;mi_bamboo;mi_brass_copper;mi_cement_mortar;mi_ceramics;mi_concrete_reinforced;mi_concrete_wo_reinforcement;mi_earth;mi_EPS_XPS;mi_fungi;mi_glass;mi_metals;mi_plastics;mi_steel_reinforcement;mi_stone;mi_stone_wool;mi_straw_hemp;mi_wood;mi_other;mi_fr_aluminum;mi_fr_wood;mi_fr_copper;mi_fr_concrete;mi_fr_brick;mi_fr_plastics;mi_fr_glass;mi_fr_steel;mi_fr_other;mi_eurostat_metal_materials;mi_eurostat_non-metallic_minerals;mi_eurostat_fossil_energy_materials;mi_eurostat_biomass_based_materials;mi_hf_metals;mi_hf_cca;mi_hf_non-cca-minerals;mi_hf_bio-based;mi_hf_other-materials;GHG_sum_em_m2a;GHG_EC_share;GHG_OC_share;GHG_A123_m2a;GHG_A45_m2a;GHG_B1234_m2a;GHG_B67_m2a;GHG_C12_m2a;GHG_C34_m2a;GHG_A123_m2a_harm;GHG_A45_m2a_harm;GHG_B1234_m2a_harm;GHG_B67_m2a_harm;GHG_C12_m2a_harm;GHG_C34_m2a_harm;GHG_sum_em_m2a_harm;GHG_sum_em_capita_a;GHG_A_capita_a;GHG_B_em_capita_a;GHG_B_op_capita_a;GHG_C_capita_a;GHG_P1_sum_m2a;GHG_P2_sum_m2a;GHG_P34_sum_m2a;GHG_P4_sum_m2a;bldg_area_per_user;admin_project_code;admin_data_partner;admin_project_contact;meta_source;site_country_iso3;bldg_year_permit;bldg_area_hfa;bldg_volume_gbv;bldg_area_envelope;bldg_area_windows;bldg_area_walls_ext;bldg_orientation;bldg_attached_faces;bldg_ratio_window_to_wall;bldg_shape_factor;bldg_ratio_window_to_floor;bldg_ratio_wall_ext_to_floor;bldg_certification;bldg_wall_ext_uvalue;bldg_roof_uvalue;bldg_inertia;bldg_energy_provision;bldg_energy_sources;bldg_energy_distribution;bldg_bipv_description;bldg_wall_internal_type;bldg_wall_internal_area;bldg_construction_method;lca_scenarios_decarbonisation;lca_indicators_other;scope_parts;scope_LCS;scope_LCM;scope_LCS_B8;mass_aluminium;mass_bamboo;mass_brass_copper;mass_cement_mortar;mass_ceramics;mass_concrete_reinforced;mass_concrete_wo_reinforcement;mass_earth;mass_EPS_XPS;mass_fungi;mass_glass;mass_metals;mass_plastics;mass_steel_reinforcement;mass_stone;mass_stone_wool;mass_straw_hemp;mass_wood;mass_other;mass_eurostat_metal_materials;mass_eurostat_non-metallic_minerals;mass_eurostat_fossil_energy_materials;mass_eurostat_biomass_based_materials;mass_hf_metals;mass_hf_cca;mass_hf_non-cca-minerals;mass_hf_bio-based;mass_hf_other-materials;GHG_sum_em;GHG_B5_m2a;GHG_D_m2a;GHG_A123_m2a_APEN;GHG_A45_m2a_APEN;GHG_B1234_m2a_APEN;GHG_B5_m2a_APEN;GHG_B67_m2a_APEN;GHG_C12_m2a_APEN;GHG_C34_m2a_APEN;GHG_D_m2a_APEN;GHG_sum_em_m2a_APEN;GHG_sum_op_m2a_APEN;GHG_B5_m2a_harm;GHG_A1_m2a;GHG_A2_m2a;GHG_A3_m2a;GHG_A4_m2a;GHG_A5_m2a;GHG_B1_m2a;GHG_B2_m2a;GHG_B3_m2a;GHG_B4_m2a;GHG_B6_m2a;GHG_B7_m2a;GHG_C1_m2a;GHG_C2_m2a;GHG_C3_m2a;GHG_C4_m2a;GHG_P1_A123_m2a;GHG_P1_A45_m2a;GHG_P1_B1234_m2a;GHG_P1_B5_m2a;GHG_P1_C12_m2a;GHG_P1_C34_m2a;GHG_P1_D_m2a;GHG_P2_A123_m2a;GHG_P2_A45_m2a;GHG_P2_B1234_m2a;GHG_P2_B5_m2a;GHG_P2_C12_m2a;GHG_P2_C34_m2a;GHG_P2_D_m2a;GHG_P34_A123_m2a;GHG_P34_A45_m2a;GHG_P34_B1234_m2a;GHG_P34_B5_m2a;GHG_P34_C12_m2a;GHG_P34_C34_m2a;GHG_P34_D_m2a;GHG_P4_A123_m2a;GHG_P4_A45_m2a;GHG_P4_B1234_m2a;GHG_P4_B5_m2a;GHG_P4_C12_m2a;GHG_P4_C34_m2a;GHG_P4_D_m2a;GHG_P56_sum_m2a;GHG_P56_A123_m2a;GHG_P56_A45_m2a;GHG_P56_B1234_m2a;GHG_P56_B5_m2a;GHG_P56_C12_m2a;GHG_P56_C34_m2a;GHG_P56_D_m2a;GHG_P78_sum_m2a;GHG_P78_A123_m2a;GHG_P78_A45_m2a;GHG_P78_B1234_m2a;GHG_P78_B5_m2a;GHG_P78_C12_m2a;GHG_P78_C34_m2a;GHG_P78_D_m2a;CED_EE_m2a;CED_OE_m2a;CED_A1-3_m2a;CED_A4-5_m2a;CED_B1-4_m2a;CED_B5_m2a;CED_B6-7_m2a;CED_C1-2_m2a;CED_C3-4_m2a;CED_D_m2a;CED_EE_share;CED_OE_share;GHG_A123_m2a_harm_LCM;GHG_A45_m2a_harm_LCM;GHG_B1234_m2a_harm_LCM;GHG_B5_m2a_harm_LCM;GHG_C12_m2a_harm_LCM;GHG_C34_m2a_harm_LCM;ratio_A123_LCM;ratio_A45_LCM;ratio_B1234_LCM;ratio_B5_LCM;ratio_C12_LCM;ratio_C34_LCM;ratio_A123_parts;ratio_A45_parts;ratio_B1234_parts;ratio_B5_parts;ratio_C12_parts;ratio_C34_parts;GHG_A123_total;GHG_A45_total;GHG_B1234_total;GHG_B67_total;GHG_C12_total;GHG_C34_total;GHG_em_sum_total;GHG_P1_total;GHG_P2_total;GHG_P34_total;GHG_P4_total;GHG_P56_total;GHG_P78_total;GHG_per_mass
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Hospital and Health;No data;New Built;2019.0;2015-2019;114.0;Other;14498.07;10001-15000;3.0;1-6;1.0;Flat roof;;No data;;;New Standard;B;Detailed design;massive concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;separately considered;No data;No data;No data;No data;No data;No data;127.29;No data;No data;27509262.0;1897.44303897001;241309.315789473;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.03;;;7.03;;0.93;35.4;;;7.03;;0.93;35.4;;;7.96;894.04765;894.04765;118.273728947368;4502.03226315789;100.469081578947;;;;;127.17605263157894;PORR_01;PORR;Neururer;No data;AUT;2017.0;10171.01;;;;;No data;;;;;;DGNB;;;No data;No data;No data;No data;No data;No data;;No data;No;No data;GLEI;ABCD;PMOW;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.97;;;;;;;;;;;;;;;;;;;;0.93;35.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.883165829145728;;0.116834170854271;;;;0.883165829145728;;0.116834170854271;;;;101921.4321;;13483.205100000001;513231.67799999996;;;101921.4321;;;;;;;0.003704986055242058
No data;Alexander Passer, Helmuth Kreiner;No data;AT6 - Karmeliterhof;A57 case study report;Austria;AT;Graz;(D) Continental;Low;Western Europe;Non-residential;Office;Refurbishment;New Built;2011.0;2010-2014;;Other;2034.0;1-5000;5.0;1-6;;Flat roof;2034.0;m2 GFA;;;New Advanced;No data;No data;massive concrete;Modernization of whole building complex of building. Restructuring and renovation of the existing facade. Close the gap between existing buildings. Enhancement of the attractiveness of the surrounding area. Improvement of the local density. Disabled accessibility;m2 NFA y;No data;50.0;Other;Oekobau.dat;Ökobau 2009;Ökobaudat;As of Ökobau 2009;Process-based;Yes;Yes;No data;No data;Yes;No data;No data;No data;No data;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;No;substracted (credit);Yes;No;Yes;Yes;Yes;No;39.0;No data;No data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.99;25.78251048725395;74.21748951274604;;;;;;;;;;;;;;;;;;;;;;;;APEN_Grey_6;ROECK-et-al;ROECK-et-al;Grey;AUT;;;;;;;No data;;;;;;No data;;;No data;DHCP (District Heating and Cooling Plant);No data;Radiator(s);No data;No data;;"Reinforced Concrete / bricks; Insulation composite system";No data;No data;GLS;ABC;PMOW;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.99;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96.192;269.208;;;;;;;;;26.32512315270936;73.67487684729063;;;;;;;0.653880696265147;;0.145841433676002;;;0.248231726270124;0.694669003741823;0.0452166631777266;0.63952271299979;;0.0477287000209336;0.162951969611417;;;;;;;16251.66;;;;;;;
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Hospital and Health;No data;New Built;2019.0;2015-2019;87.0;Other;10482.0;10001-15000;3.0;1-6;2.0;Flat roof;;No data;;;New Standard;B;Detailed design;massive concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;separately considered;No data;No data;No data;No data;No data;No data;134.25;No data;No data;18075556.0;1724.43770272848;207765.011494252;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.34;;;7.34;;0.84;36.82;;;7.34;;0.84;36.82;;;8.18;884.343448275862;884.343448275862;101.205517241379;4436.17517241379;100.000689655172;;;;;120.48275862068965;PORR_02;PORR;Neururer;No data;AUT;2017.0;7415.45;;;;;No data;;;;;;DGNB;;;No data;No data;No data;No data;No data;No data;;No data;No;No data;GLEI;ABCD;PMOW;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.05;;;;;;;;;;;;;;;;;;;;0.84;36.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.897310513447432;;0.102689486552567;;;;0.897310513447432;;0.102689486552567;;;;76937.88;;8804.88;385947.24;;;76937.88;;;;;;;0.004256459939600215
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Office;No data;New Built;2016.0;2015-2019;75.0;Other;1546.0;1-5000;3.0;1-6;;Flat roof;;No data;;;New Standard;A+;Detailed design;massive concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;substracted (credit);No data;No data;No data;No data;No data;No data;-10.42;No data;No data;2066728.0;1336.82276843467;27556.3733333333;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.02;;;5.02;;1.84;-3.7;;;5.02;;1.84;-3.7;;;6.85999999999999;103.478933333333;103.478933333333;37.9285333333333;-76.2693333333333;;;;;;20.613333333333333;PORR_08;PORR;Neururer;No data;AUT;2015.0;1237.18;;;;;No data;;;;;;DGNB;;;No data;No data;No data;No data;No data;No data;;No data;No;No data;GLEI;ABCD;PMOW;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.84;-3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.731778425655976;;0.268221574344023;;;;0.731778425655976;;0.268221574344023;;;;7760.919999999999;;2844.6400000000003;-5720.200000000001;;;7760.919999999999;;;;;;;0.003755172427140872
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Office;No data;New Built;2017.0;2015-2019;400.0;Other;13443.0;10001-15000;5.0;1-6;1.0;Flat roof;;No data;;;New Standard;A;Detailed design;frame concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;substracted (credit);No data;No data;No data;No data;No data;No data;33.2;No data;No data;20186789.0;1501.6580376404;50466.9725;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.45;;;5.45;;2.41;10.03;;;5.45;;2.41;10.03;;;7.86;183.160875;183.160875;80.994075;337.083225;;;;;;33.6075;PORR_07;PORR;Neururer;No data;AUT;2016.0;10282.0;;;;;No data;;;;;;DGNB;;;No data;No data;No data;No data;No data;No data;;No data;No;No data;GLEI;ABCD;PMOW;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.41;10.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.693384223918575;;0.306615776081424;;;;0.693384223918575;;0.306615776081424;;;;73264.35;;32397.63;134833.28999999998;;;73264.35;;;;;;;0.003629321632083259
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Office;No data;New Built;2020.0;>2020;1800.0;Other;35825.0;35001-40000;9.0;7-14;1.0;Flat roof;;No data;;;New Standard;A;Detailed design;massive concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;separately considered;No data;No data;No data;No data;No data;No data;47.95;No data;No data;103390394.0;2885.98448011165;57439.1077777777;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.48;;;8.48;;0.43;11.62;;;8.48;;0.43;11.62;;;8.91;168.775555555555;168.775555555555;8.55819444444444;231.270277777777;19.1066666666666;;;;;19.90277777777778;PORR_06;PORR;Auinger;No data;AUT;2017.0;29832.0;;;;;No data;;;;;;DGNB;;;No data;No data;No data;No data;No data;No data;;No data;No;No data;GLEI;ABCD;PMOW;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.36;;;;;;;;;;;;;;;;;;;;0.43;11.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.951739618406285;;0.0482603815937149;;;;0.951739618406285;;0.0482603815937149;;;;303796.0;;15404.75;416286.5;;;303796.0;;;;;;;0.0029383387396705388
No data;Tschümperlin L., Frischknecht R., Pfäffli K., Knecht K. and Schultheiss M.;2016;"Zielwert Gesamtumweltbelastung Gebäude; Ergänzungsarbeiten mit Fokus auf den Einfluss der Technisierung auf die Umweltbelastung von Büro- und Wohnbauten";No data;Austria;AT;Lustenau;(D) Continental;Low;Western Europe;Non-residential;Office;New construction;New Built;2013.0;2010-2014;;Other;;No data;6.0;1-6;;Flat roof;3051.0;m2 HFA;;;New Advanced;No data;No data;massive concrete;establish environmental benchmark;other;No data;60.0;SimaPro;Ecoinvent;v2.2;including updates of v2.2;No data;Process-based;Yes;Yes;No data;Yes;Yes;No data;No data;No data;No data;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;not in scope;Yes;Yes;Yes;Yes;Yes;No;23.33;No data;Meter data (measured);4819770.88;;;4471014.64;92.7640493981324;Concrete w/o reinforcement;2554170.1;Ceramics (e.g., fired clay bricks);1200873.92;Other;272621.0;Cement mortar, plaster;228963.93;Cement mortar, plaster;214385.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.74166666666666;71.35918539735191;28.6408146026481;6.01666666666666;;1.79166666666666;3.50833333333333;;0.916666666666666;7.22;;1.79166666666666;3.50833333333333;;1.1;10.1116666666666;;;;;;;;;;;APEN_Grey_97;ROECK-et-al;ROECK-et-al;Grey;AUT;;;;2347.0;371;1815.0;No data;;0.204;;0.1215994755817765;0.5948869223205506;No data;;;No data;other;Electricity from grid;other;No PV;No data;;massive construction;No data;Gesamtumweltbelastung (UBP, Methode der ökologischen Knappheit 2013, Frischknecht & Büsser Knöpfel 2013, und Methode der ökologischen Knappheit 2006, Frischknecht et al. 2008);GLIS;ABC;PMODW;No data;;;;443349.62;1200873.92;;2554170.1;;;;;;;;;;;;272621.0;;4198393.64;;;;2997519.72;1200873.92;;;;;;7.22;;2.15;;4.21;;1.1;;10.49;3.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101.0789105079103;224.1572243886459;69.06;;25.6;;224.1572243886459;;6.32;;31.07862247227209;68.92137752772793;;;;;;;0.714026701829569;;0.177188066589747;;;0.108785231580682;0.714026701829569;;0.177188066589747;;;0.108785231580682;;;;;;;;;;;;;;
No data;Beate Lubitz-Prohaska, Alexander Passer, Gernot Fischer;2012;AT2 - LCT One;A57 case study report;Austria;AT;Vienna;(D) Continental;Low;Western Europe;Non-residential;Office;New construction;New Built;2012.0;2010-2014;;Other;2355.0;1-5000;8.0;7-14;1.0;Flat roof;2355.0;m2 GFA;;;New Advanced;No data;No data;massive wood;"To perform a Life Cycle Assessment (LCA) to evaluate the use of Primary Energy
(PE) , Global Warming Potential (GWP) and acidification (AP), related to the life
cycle of a new office building in Austria.";m2 GFA y;No data;100.0;Other;Other;No data;EcoSoft IBO;"GWP 100a (EcoSoft by IBO )
Acidification (EcoSoft by IBO )
CED non renewable (EcoSoft by IBO )";Process-based;Yes;Yes;No data;No data;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No data;Yes;Yes;Yes;Yes;No;No;15.0;No data;No data;2801402.0;1189.55498938428;;2147901.0;76.672359054502;Concrete reinforced;1525072.0;Concrete w/o reinforcement;485070.0;Timber, wood;137759.0;No data;;No data;;;;;;;647.588959660297;205.974522292993;;;;;;;;;;;58.4963906581741;;;58.4963906581741;;853.56348195329;;;;;;;853.56348195329;;58.4963906581741;;853.56348195329;;58.4963906581741;;3.29;9.803337306317044;90.19666269368295;;;;;;;;;;;;;;;;;;;;;;;;APEN_Grey_2;ROECK-et-al;ROECK-et-al;Grey;AUT;;;7996.0;;;;No data;;;;;;No data;;;No data;No data;No data;No data;No data;No data;;Timber hybrid construction;No data;No data;GL;AB;PMO;No data;;;;;;1525072.0;485070.0;;;;;;;;;;;137759.0;;;2010142.0;;137759.0;;2010142.0;;137759.0;;;;;;;;;;;;;6.58;30.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75.70800000000001;345.348;;;;;;;;;17.98050615595075;82.01949384404924;;;;;;;;;;;;;1.00948601364249;;;;-0.131172400362665;0.353201643107406;;;;;;;7747.95;;;;;;;0.0027657401543941416
No data;Beate Lubitz-Prohaska, Alexander Passer, Gernot Fischer;2012;AT1 - Aspern IQ;A57 case study report;Austria;AT;Vienna;(D) Continental;Low;Western Europe;Non-residential;Office;New construction;New Built;2012.0;2010-2014;;Other;12682.0;10001-15000;5.0;1-6;;Flat roof;12682.0;m2 GFA;;;New Advanced;No data;No data;massive brick;"To perform a Life Cycle Assessment (LCA) to evaluate the use of Primary Energy
(PE) , Global Warming Potential (GWP) and acidification (AP), related to the life
cycle of a new office building in Austria.";m2 GFA y;No data;100.0;Other;Other;No data;EcoSoft IBO;"GWP 100a (EcoSoft by IBO )
Acidification (EcoSoft by IBO )
CED non renewable (EcoSoft by IBO )";Process-based;Yes;Yes;No data;No data;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No data;Yes;Yes;Yes;Yes;No;No;14.62;No data;No data;15608413.0;1230.75327235451;;13937216.0;89.292972962722;Concrete w/o reinforcement;6985592.0;Concrete reinforced;6309207.0;Cement mortar, plaster;642417.0;No data;;No data;;;;;50.6558113862166;;497.493061031383;550.827314303737;;;;;;;;;;;;;;;;1048.32037533512;;;;;50.6558113862166;;1098.97618672133;;;;1098.97618672133;;;;4.77;38.06863527533918;61.93136472466082;;;;;;;;;;;;;;;;;;;;;;;;APEN_Grey_1;ROECK-et-al;ROECK-et-al;Grey;AUT;;;50254.0;;;;No data;;;;;;No data;;;No data;No data;No data;No data;No data;No data;;RC;No data;No data;GL;AB;PMO;No data;;;;642417.0;;6309207.0;6985592.0;;;;;;;;;;;;;;13937216.0;;;;13937216.0;;;;;;;;;;;;;;;9.54;7.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81.36000000000001;191.628;;;;;;;;;34.0;66.0;;;;;;;;;;;;;1.00948601364249;;;;-0.131172400362665;0.353201643107406;;;;;;;60493.13999999999;;;;;;;0.0038756752528268184
10.1016/j.enbuild.2016.04.015;"Passer, A
Ouellet-Plamondon, C
P. Kenneally, P
V. John, V
G. Habert, G";2016;The impact of future scenarios on building refurbishment strategies towards plus energy buildings;Energy and Buildings;Austria;AT;Kapfenberg, Styria, Austria;(D) Continental;No data;Western Europe;Residential;Multi-family house;New construction;New Built;1961.0;1960-1964;;Other;2845.0;1-5000;4.0;1-6;1.0;Single pitched roof;2845.0;m2 GFA;;650.0;New Advanced;No data;No data;frame concrete;compare different refurbishment strategies over a reference period of 60 years;other;1m2 energy reference area per year;60.0;SimaPro;Ecoinvent;v2.2;No data;ISO 14040 and 14044 and EN 15986;Process-based;No;No data;No data;Yes;Yes;No data;No data;No data;No data;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;not in scope;Yes;Yes;No;Yes;Yes;Yes;28.33;No data;No data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1;20.66666666666667;79.33333333333333;;;;;;;;;;;;;;;;;;;;;;;;APEN_SLR_15i;ROECK-et-al;ROECK-et-al;SLR;AUT;;;8673.0;3209.01;;;S;;;0.37;;;No data;0.14;0.1;No data;DHCP (District Heating and Cooling Plant);No data;No data;600 m2;No data;;prefabricated timber elements;No data;ecological scarcity;IS;ABC;PCMRODW;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.72;11.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123.12;1.07;;;;;;;;;99.13841694178276;0.8615830582172478;;;;;;;0.681504586154162;0.150998367328203;0.130155294790524;;0.0509054697887433;0.0162276974875078;;;;;;;;;;;;;8819.5;;;;;;;
